,centromere_index,intensity,file,C1_Intensity,C2_Intensity,Label,Treatment,spots
238,26,279.56567,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,103,968,Cen7g11rFISH,Palbo_ON,45
239,27,281.20035,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,108,255,Cen7g11rFISH,Palbo_ON,45
240,28,270.39413,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,109,113,Cen7g11rFISH,Palbo_ON,45
241,29,276.49893,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,109,617,Cen7g11rFISH,Palbo_ON,45
242,30,271.0748,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,213,112,Cen7g11rFISH,Palbo_ON,45
243,31,266.38846,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,108,110,Cen7g11rFISH,Palbo_ON,45
244,32,261.88724,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,105,329,Cen7g11rFISH,Palbo_ON,45
245,33,239.42569,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,106,107,Cen7g11rFISH,Palbo_ON,45
246,34,246.86676,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,106,117,Cen7g11rFISH,Palbo_ON,45
247,35,256.7989,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,103,103,Cen7g11rFISH,Palbo_ON,45
248,36,226.06282,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,107,539,Cen7g11rFISH,Palbo_ON,45
249,37,220.80981,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,112,274,Cen7g11rFISH,Palbo_ON,45
250,38,221.31354,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,106,114,Cen7g11rFISH,Palbo_ON,45
251,39,209.5185,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,149,30796,Cen7g11rFISH,Palbo_ON,45
252,40,202.94878,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,112,145,Cen7g11rFISH,Palbo_ON,45
253,41,197.16696,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,104,109,Cen7g11rFISH,Palbo_ON,45
254,42,188.48251,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,172,26800,Cen7g11rFISH,Palbo_ON,45
255,43,170.60974,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,106,1787,Cen7g11rFISH,Palbo_ON,45
256,44,175.0659,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,99,1371,Cen7g11rFISH,Palbo_ON,45
257,0,924.6656,Cen7g11rFISH\Palbo_ON\IFISH001_006.tif,115,276,Cen7g11rFISH,Palbo_ON,42
258,1,847.9208,Cen7g11rFISH\Palbo_ON\IFISH001_006.tif,109,586,Cen7g11rFISH,Palbo_ON,42
259,2,794.21765,Cen7g11rFISH\Palbo_ON\IFISH001_006.tif,139,110,Cen7g11rFISH,Palbo_ON,42
260,3,673.377,Cen7g11rFISH\Palbo_ON\IFISH001_006.tif,224,120,Cen7g11rFISH,Palbo_ON,42
